run_name	tier	method	proxy_name	layer_set	head_reduce	sym	threshold	green_bias	yellow_bias	tau	green_conf_eff	yellow_conf_eff	flex_em	avg_forward_pass	efficiency	out_dir
v13_conservative_qk_log_softmax_lslast_only_hrmean_symmax_th0p2	conservative	proxy_qk	qk_log_softmax	last_only	mean	max	0.2	0.42	0.34	0.0010	0.42	0.24	0.565	229.215	0.0024649346683244984	out/prob_gyr_limit200_qkv_sweep_llada_alltiers_gpu2_gsm8k_limit200/conservative/gsm8k_cot/v13_conservative_qk_log_softmax_lslast_only_hrmean_symmax_th0p2
v13_conservative_qk_log_softmax_lslast_only_hrmax_symmax_th0p2	conservative	proxy_qk	qk_log_softmax	last_only	max	max	0.2	0.42	0.34	0.0010	0.42	0.24	0.56	229.215	0.002443121087188884	out/prob_gyr_limit200_qkv_sweep_llada_alltiers_gpu2_gsm8k_limit200/conservative/gsm8k_cot/v13_conservative_qk_log_softmax_lslast_only_hrmax_symmax_th0p2
v13_conservative_qk_log_softmax_lsmid_only_hrmean_symmax_th0p2	conservative	proxy_qk	qk_log_softmax	mid_only	mean	max	0.2	0.42	0.34	0.0010	0.42	0.24	0.565	229.215	0.0024649346683244984	out/prob_gyr_limit200_qkv_sweep_llada_alltiers_gpu2_gsm8k_limit200/conservative/gsm8k_cot/v13_conservative_qk_log_softmax_lsmid_only_hrmean_symmax_th0p2
v13_conservative_qk_log_softmax_lsmid_only_hrmax_symmax_th0p2	conservative	proxy_qk	qk_log_softmax	mid_only	max	max	0.2	0.42	0.34	0.0010	0.42	0.24	0.565	229.215	0.0024649346683244984	out/prob_gyr_limit200_qkv_sweep_llada_alltiers_gpu2_gsm8k_limit200/conservative/gsm8k_cot/v13_conservative_qk_log_softmax_lsmid_only_hrmax_symmax_th0p2
v13_conservative_qk_log_softmax_lsearly_mid_late_hrmean_symmax_th0p2	conservative	proxy_qk	qk_log_softmax	early_mid_late	mean	max	0.2	0.42	0.34	0.0010	0.42	0.24	0.565	229.215	0.0024649346683244984	out/prob_gyr_limit200_qkv_sweep_llada_alltiers_gpu2_gsm8k_limit200/conservative/gsm8k_cot/v13_conservative_qk_log_softmax_lsearly_mid_late_hrmean_symmax_th0p2
v13_conservative_qk_log_softmax_lsearly_mid_late_hrmax_symmax_th0p2	conservative	proxy_qk	qk_log_softmax	early_mid_late	max	max	0.2	0.42	0.34	0.0010	0.42	0.24	0.565	229.215	0.0024649346683244984	out/prob_gyr_limit200_qkv_sweep_llada_alltiers_gpu2_gsm8k_limit200/conservative/gsm8k_cot/v13_conservative_qk_log_softmax_lsearly_mid_late_hrmax_symmax_th0p2
v13_conservative_qk_softmax_lslast_only_hrmean_symmax_th0p4	conservative	proxy_qk	qk_softmax	last_only	mean	max	0.4	0.42	0.34	0.0010	0.42	0.24	0.565	229.215	0.0024649346683244984	out/prob_gyr_limit200_qkv_sweep_llada_alltiers_gpu2_gsm8k_limit200/conservative/gsm8k_cot/v13_conservative_qk_softmax_lslast_only_hrmean_symmax_th0p4
v13_conservative_qk_softmax_lslast_only_hrmax_symmax_th0p4	conservative	proxy_qk	qk_softmax	last_only	max	max	0.4	0.42	0.34	0.0010	0.42	0.24	0.565	229.215	0.0024649346683244984	out/prob_gyr_limit200_qkv_sweep_llada_alltiers_gpu2_gsm8k_limit200/conservative/gsm8k_cot/v13_conservative_qk_softmax_lslast_only_hrmax_symmax_th0p4
v13_conservative_qk_softmax_lsmid_only_hrmean_symmax_th0p4	conservative	proxy_qk	qk_softmax	mid_only	mean	max	0.4	0.42	0.34	0.0010	0.42	0.24	0.565	229.215	0.0024649346683244984	out/prob_gyr_limit200_qkv_sweep_llada_alltiers_gpu2_gsm8k_limit200/conservative/gsm8k_cot/v13_conservative_qk_softmax_lsmid_only_hrmean_symmax_th0p4
v13_conservative_qk_softmax_lsmid_only_hrmax_symmax_th0p4	conservative	proxy_qk	qk_softmax	mid_only	max	max	0.4	0.42	0.34	0.0010	0.42	0.24	0.565	229.215	0.0024649346683244984	out/prob_gyr_limit200_qkv_sweep_llada_alltiers_gpu2_gsm8k_limit200/conservative/gsm8k_cot/v13_conservative_qk_softmax_lsmid_only_hrmax_symmax_th0p4
v13_conservative_qk_softmax_lsearly_mid_late_hrmean_symmax_th0p4	conservative	proxy_qk	qk_softmax	early_mid_late	mean	max	0.4	0.42	0.34	0.0010	0.42	0.24	0.565	229.215	0.0024649346683244984	out/prob_gyr_limit200_qkv_sweep_llada_alltiers_gpu2_gsm8k_limit200/conservative/gsm8k_cot/v13_conservative_qk_softmax_lsearly_mid_late_hrmean_symmax_th0p4
v13_conservative_qk_softmax_lsearly_mid_late_hrmax_symmax_th0p4	conservative	proxy_qk	qk_softmax	early_mid_late	max	max	0.4	0.42	0.34	0.0010	0.42	0.24	0.565	229.215	0.0024649346683244984	out/prob_gyr_limit200_qkv_sweep_llada_alltiers_gpu2_gsm8k_limit200/conservative/gsm8k_cot/v13_conservative_qk_softmax_lsearly_mid_late_hrmax_symmax_th0p4
v13_conservative_qk_raw_lslast_only_hrmean_symmax_th0p5	conservative	proxy_qk	qk_raw	last_only	mean	max	0.5	0.42	0.34	0.0010	0.42	0.24	0.565	229.215	0.0024649346683244984	out/prob_gyr_limit200_qkv_sweep_llada_alltiers_gpu2_gsm8k_limit200/conservative/gsm8k_cot/v13_conservative_qk_raw_lslast_only_hrmean_symmax_th0p5
v13_conservative_qk_raw_lslast_only_hrmax_symmax_th0p5	conservative	proxy_qk	qk_raw	last_only	max	max	0.5	0.42	0.34	0.0010	0.42	0.24	0.565	229.215	0.0024649346683244984	out/prob_gyr_limit200_qkv_sweep_llada_alltiers_gpu2_gsm8k_limit200/conservative/gsm8k_cot/v13_conservative_qk_raw_lslast_only_hrmax_symmax_th0p5
v13_conservative_qk_raw_lsmid_only_hrmean_symmax_th0p5	conservative	proxy_qk	qk_raw	mid_only	mean	max	0.5	0.42	0.34	0.0010	0.42	0.24	0.565	229.215	0.0024649346683244984	out/prob_gyr_limit200_qkv_sweep_llada_alltiers_gpu2_gsm8k_limit200/conservative/gsm8k_cot/v13_conservative_qk_raw_lsmid_only_hrmean_symmax_th0p5
v13_conservative_qk_raw_lsmid_only_hrmax_symmax_th0p5	conservative	proxy_qk	qk_raw	mid_only	max	max	0.5	0.42	0.34	0.0010	0.42	0.24	0.565	229.215	0.0024649346683244984	out/prob_gyr_limit200_qkv_sweep_llada_alltiers_gpu2_gsm8k_limit200/conservative/gsm8k_cot/v13_conservative_qk_raw_lsmid_only_hrmax_symmax_th0p5
